Contraparte,Numero_Contrato,Nombre,Serie,Tasa,Titulos,Precio,Plazo,Monto_neto,Fecha_operacion
BANCO NACIONAL DE COMERCIO EXTERIOR,538080,FONDO SAM RENTA VARIABLE 21 S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE,2UCBIC004310116,7.5200,550273,908.63938798,1,499999721.94RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,547660,FONDO SAM DEUDA 7 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,1496402,100.24039228,1,149999923.49RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,4006302,FONDO SAM BALANCEADO 8 S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE,IQ290111,7.7800,178051,100.24039228,1,17847902.09RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,4006301,FONDO SAM BALANCEADO 7 S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE,IQ290111,7.7800,202450,100.24039228,1,20293667.42RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,520866,FONDO SAM DEUDA 6 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,574166,100.24039228,1,57554625.07RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519052,FONDO SAM DEUDA 4 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,925403,100.24039228,1,92762759.74RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,522590,FONDO SAM DEUDA 8 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,4102037,100.24039228,1,411189798.03RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,522590,FONDO SAM DEUDA 8 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IS270930,7.7800,9000000,103.15543715,1,928398934.35RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,527920,FONDO SAM DEUDA CORTO PLAZO 16 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,1097362,100.24039228,1,109999997.35RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,522580,FONDO SAM DEUDA CORTO PLAZO 17 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,2992805,100.24039228,1,299999947.22RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519051,FONDO SAM DEUDA CORTO PLAZO 3 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IS251002,7.7800,821264,103.39562819,1,84915107.19RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519051,FONDO SAM DEUDA CORTO PLAZO 3 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,1646889,100.24039228,1,165084799.40RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519174,FONDO SAM DEUDA CORTO PLAZO 9 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ300516,7.7800,1022250,101.36662509,1,103622032.50RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519174,FONDO SAM DEUDA CORTO PLAZO 9 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IM280504,7.7800,12959411,99.93412678,1,1295087421.87RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519174,FONDO SAM DEUDA CORTO PLAZO 9 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,5107242,100.24039228,1,511951941.55RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,519174,FONDO SAM DEUDA CORTO PLAZO 9 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IM280203,7.7800,2009201,100.18435563,1,201290507.52RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,520872,FONDO SAM DEUDA CORTO PLAZO 7 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,LF320129,7.7800,4003900,99.51695900,1,398455952.14RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,520872,FONDO SAM DEUDA CORTO PLAZO 7 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,IQ290111,7.7800,3507009,100.24039228,1,351543957.89RP,20/08/25
