Contraparte,Numero_Contrato,Nombre,Serie,Tasa,Titulos,Precio,Plazo,Monto_neto,Fecha_operacion
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000000566,FONDO SAM DEUDA CORTO PLAZO 9 S.A. DE C.V. FONDO,LF300124,Importe 4204145037.98,42308540,99.36870991,(CUATRO MIL DOSCIENTOS CUATRO MILLONES  CIENTO CUARENTA Y CINCO MIL TREINTA Y SIETE PESOS 98/100),4204145037.98RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000000562,FONDO SAM DEUDA CORTO PLAZO 3 S.A. DE C.V. FONDO,LF300124,Importe 399999997.30,4025412,99.36870991,(TRESCIENTOS NOVENTA Y NUEVE MILLONES  NOVECIENTOS NOVENTA Y NUEVE MIL NOVECIENTOS NOVENTA Y SIETE PESOS 30/100),399999997.30RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000000563,FONDO SAM DEUDA CORTO PLAZO 2 S.A. DE C.V. FONDO DE INVERSIÓN EN INSTRUMENTOS DE DEUDA,LF300124,13/100),19623883,99.36870991,(MIL NOVECIENTOS CUARENTA Y NUEVE MILLONES  NOVECIENTOS NOVENTA Y NUEVE MIL NOVECIENTOS TREINTA Y SIETE PESOS ,1949999937.13RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000000569,FONDO SAM DEUDA CORTO PLAZO 11 S.A. DE C.V. FONDO DE INVERSIÓN EN INSTRUMENTOS DE DEUDA ,LF300124,Importe 259999918.75,2616517,99.36870991,(DOSCIENTOS CINCUENTA Y NUEVE MILLONES  NOVECIENTOS NOVENTA Y NUEVE MIL NOVECIENTOS DIECIOCHO PESOS 75/100),259999918.75RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000001645,BNPP 4 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,LF300124,Importe 8804663.91,88606,99.36870991,(OCHO MILLONES  OCHOCIENTOS CUATRO MIL SEISCIENTOS SESENTA Y TRES PESOS 91/100),8804663.91RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000001646,BNPP 5 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF300124,Importe 27144947.96,273174,99.36870991,(VEINTISIETE MILLONES  CIENTO CUARENTA Y CUATRO MIL NOVECIENTOS CUARENTA Y SIETE PESOS 96/100),27144947.96RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000001647,BNPP 6 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF300124,Importe 74857032.76,753326,99.36870991,(SETENTA Y CUATRO MILLONES  OCHOCIENTOS CINCUENTA Y SIETE MIL TREINTA Y DOS PESOS 76/100),74857032.76RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000001648,BNPP 7 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF300124,Importe 47872267.16,481764,99.36870991,(CUARENTA Y SIETE MILLONES  OCHOCIENTOS SETENTA Y DOS MIL DOSCIENTOS SESENTA Y SIETE PESOS 16/100),47872267.16RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000001649,BNPP 8 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF300124,Importe 27175752.26,273484,99.36870991,(VEINTISIETE MILLONES  CIENTO SETENTA Y CINCO MIL SETECIENTOS CINCUENTA Y DOS PESOS 26/100),27175752.26RP,20/08/25
BANCO NACIONAL DE COMERCIO EXTERIOR,I0000000605,FONDO SAM RENTA VARIABLE 21 S.A. DE C.V. FONDO DE INVERSIÓN DE RENTA VARIABLE ,2UCBIC004310116,Importe 499999721.94,550273,908.63938798,(CUATROCIENTOS NOVENTA Y NUEVE MILLONES  NOVECIENTOS NOVENTA Y NUEVE MIL SETECIENTOS VEINTIUN PESOS 94/100),499999721.94RP,20/08/25
