Contraparte,Nombre,Tipo_Valor,Emisora,Serie,Cuenta_Destino,Tasa,Titulos,Precio,Plazo,Monto_neto,Fecha_operacion
9120Cuenta OrigenBANOBRAS,FONDO SAM DEUDA CORTO PLAZO 9 S.A. DE C.V. FONDO,LF,BONDESF,300124,ST&ER-1Comprador,7.7700,42308540,99.36870991,1,4204145037.98,20/08/25
9120Cuenta OrigenBANOBRAS,FONDO SAM DEUDA CORTO PLAZO 3 S.A. DE C.V. FONDO,LF,BONDESF,300124,PYMESComprador,7.7700,4025412,99.36870991,1,399999997.30,20/08/25
9120Cuenta OrigenBANOBRAS,FONDO SAM DEUDA CORTO PLAZO 2 S.A. DE C.V. FONDO DE INVERSIÓN EN INSTRUMENTOS DE DEUDA,LF,BONDESF,300124,FONSER1Comprador,7.7700,19623883,99.36870991,1,1949999937.13,20/08/25
9120Cuenta OrigenBANOBRAS,FONDO SAM DEUDA CORTO PLAZO 11 S.A. DE C.V. FONDO DE INVERSIÓN EN INSTRUMENTOS DE DEUDA ,LF,BONDESF,300124,ST&ER1PComprador,7.7700,2616517,99.36870991,1,259999918.75,20/08/25
9120Cuenta OrigenBANOBRAS,BNPP 4 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,LF,BONDESF,300124,SMX-50Comprador,7.7700,88606,99.36870991,1,8804663.91,20/08/25
9120Cuenta OrigenBANOBRAS,BNPP 5 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF,BONDESF,300124,SMX-60Comprador,7.7700,273174,99.36870991,1,27144947.96,20/08/25
9120Cuenta OrigenBANOBRAS,BNPP 6 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF,BONDESF,300124,SMX-70Comprador,7.7700,753326,99.36870991,1,74857032.76,20/08/25
9120Cuenta OrigenBANOBRAS,BNPP 7 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF,BONDESF,300124,SMX-80Comprador,7.7700,481764,99.36870991,1,47872267.16,20/08/25
Importe con letra,BNPP 8 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,LF,BONDESF,300124,Vendedor,7.7700,273484,99.36870991,1,27175752.26,20/08/25
9120Cuenta OrigenBANOBRAS,FONDO SAM RENTA VARIABLE 21 S.A. DE C.V. FONDO DE INVERSIÓN DE RENTA VARIABLE ,2U,CBIC004,310116,STERMXNComprador,7.5200,550273,908.63938798,1,499999721.94,20/08/25
