TipoMercado,Fecha,TV,Emisora,Serie,PrecioSucio,PrecioLimpio,InteresesDevengados,DiasPorVencer,TasaDescuento,PrecioSucio24Hrs,PrecioLimpio24Hrs,InteresesDevengados24Hrs,DiasPorVencer24Hrs,TasaDescuento24Hrs,Plazo,Sobretasa,ClaveProveedor,TipoEnvio,Duracion,Convexidad,Rendimiento,Instrumento,FechaInicioCupon,FechaFinCupon,TasaCuponVigente,TasaCuponVigente24hrs,Moneda,Isin
MD,2025/08/18,*CSP,AEDUSD,V48,3.673000,3.673000,0.000000,0,0.000000,3.673000,3.673000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_AEDUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,ARSUSD,V48,1292.750000,1292.750000,0.000000,0,0.000000,1292.750000,1292.750000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_ARSUSD_V48,,,0.000000,0.000000,ARS,
MD,2025/08/18,*CSP,ATSUSD,V48,11.793700,11.793700,0.000000,0,0.000000,11.793700,11.793700,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_ATSUSD_V48,,,0.000000,0.000000,ATS,
MD,2025/08/18,*CSP,AUDUSD,V48,1.539527,1.539527,0.000000,0,0.000000,1.539527,1.539527,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_AUDUSD_V48,,,0.000000,0.000000,AUD,
MD,2025/08/18,*CSP,AWGUSD,V48,1.810000,1.810000,0.000000,0,0.000000,1.810000,1.810000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_AWGUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BBDUSD,V48,2.019100,2.019100,0.000000,0,0.000000,2.019100,2.019100,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BBDUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BDTUSD,V48,121.500000,121.500000,0.000000,0,0.000000,121.500000,121.500000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BDTUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BEFUSD,V48,34.574588,34.574588,0.000000,0,0.000000,34.574588,34.574588,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BEFUSD_V48,,,0.000000,0.000000,BEF,
MD,2025/08/18,*CSP,BGNUSD,V48,1.676650,1.676650,0.000000,0,0.000000,1.676650,1.676650,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BGNUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BMDUSD,V48,1.000000,1.000000,0.000000,0,0.000000,1.000000,1.000000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BMDUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BNDUSD,V48,1.284200,1.284200,0.000000,0,0.000000,1.284200,1.284200,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BNDUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BOBUSD,V48,6.935000,6.935000,0.000000,0,0.000000,6.935000,6.935000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BOBUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BRLUSD,V48,5.434250,5.434250,0.000000,0,0.000000,5.434250,5.434250,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BRLUSD_V48,,,0.000000,0.000000,BRL,
MD,2025/08/18,*CSP,BSDUSD,V48,1.000000,1.000000,0.000000,0,0.000000,1.000000,1.000000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BSDUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,BZDUSD,V48,2.008700,2.008700,0.000000,0,0.000000,2.008700,2.008700,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_BZDUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,CADUSD,V48,1.380550,1.380550,0.000000,0,0.000000,1.380550,1.380550,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CADUSD_V48,,,0.000000,0.000000,CAD,
MD,2025/08/18,*CSP,CHFUSD,V48,0.807100,0.807100,0.000000,0,0.000000,0.807100,0.807100,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CHFUSD_V48,,,0.000000,0.000000,CHF,
MD,2025/08/18,*CSP,CLFPUSD,V48,0.024515,0.024515,0.000000,0,0.000000,0.024515,0.024515,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CLFPUSD_V48,,,0.000000,0.000000,CLF,
MD,2025/08/18,*CSP,CLPUSD,V48,964.400000,964.400000,0.000000,0,0.000000,964.400000,964.400000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CLPUSD_V48,,,0.000000,0.000000,CLP,
MD,2025/08/18,*CSP,CNHUSD,V48,7.187200,7.187200,0.000000,0,0.000000,7.187200,7.187200,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CNHUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,CNYUSD,V48,7.184900,7.184900,0.000000,0,0.000000,7.184900,7.184900,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CNYUSD_V48,,,0.000000,0.000000,CNY,
MD,2025/08/18,*CSP,COPUSD,V48,4030.190000,4030.190000,0.000000,0,0.000000,4030.190000,4030.190000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_COPUSD_V48,,,0.000000,0.000000,COP,
MD,2025/08/18,*CSP,CRCUSD,V48,505.315000,505.315000,0.000000,0,0.000000,505.315000,505.315000,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CRCUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,CZKUSD,V48,20.964500,20.964500,0.000000,0,0.000000,20.964500,20.964500,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_CZKUSD_V48,,,0.000000,0.000000,OTRO,
MD,2025/08/18,*CSP,DEGUSD,V48,1.354910,1.354910,0.000000,0,0.000000,1.354910,1.354910,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_DEGUSD_V48,,,0.000000,0.000000,DEG,
MD,2025/08/18,*CSP,DEMUSD,V48,1.676280,1.676280,0.000000,0,0.000000,1.676280,1.676280,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_DEMUSD_V48,,,0.000000,0.000000,DEM,
MD,2025/08/18,*CSP,DKKUSD,V48,6.397200,6.397200,0.000000,0,0.000000,6.397200,6.397200,0.000000,0,0.000000,0,0.000000,VAL025012,1,0.000000,0.000000,0.000000,*CSP_DKKUSD_V48,,,0.000000,0.000000,DKK,
