contratoid;fechaactivacion;razonsocial;giromercantil;paisnacionalidad;tipoidentificacion;numeroidentificacion;rfc;firmaelectronica;numerosdetelefono;correoelectronico;paginadeinternet;fechadeconstitucion;intervinientecargopublico;nombreycargopublico;actividades;cobertura;numeroempleados;destinodelosrecursos;propiedadrecursos;tipopersonacontrol;ingresos;producto;canalenvio
500008;2017-06-28;MISYS INTERNATIONAL BANKING SYSTEMS MEXICO;SERVICIOS DE CONSULTORIA EN SISTEMAS DE SOFTWARE FINANCIERO;MEXICO;;;MIB950823948;00001000000709602553;"[""2033205563""]";ohn.utt@finastra.com;https://www.finastra.com/;1995-08-23;0;;"[""SERVICIOS PROFESIONALES""]";NACIONAL;251 a 500;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL EXTRANJERO;10000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500011;2018-02-01;HYPERION M&T DE MEXICO SA DE CV;METALMECANICO;MEXICO;;;SME610317TG6;00001000000710171269;"[""5557293998""]";lesliemarianabelem.vazquezruiz@hyperionmt.com;https://www.hyperionmt.com/;1961-03-17;0;;"[""MANUFACTURA""]";NACIONAL;251 a 500;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL EXTRANJERO;5000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500013;2018-02-01;WALTER TOOLS SA DE CV (PLAN PENSIONES CONTRIBUCION DEFINIDA);MANUFACTURA REPARACION COMPRA VENTA EXPORTACION IMPORTACION Y COMERCIO DE PRODUCTOS METALICOS;MEXICO;;;WTO060721J42;00001000000706537812;"[""3330031677""]";sergio.robles@sandvik.com;https://www.walter-tools.com/;2006-07-21;0;;"[""MANUFACTURA""]";NACIONAL;15 a 100;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL;590000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500014;2018-03-06;MISYS INTERNATIONAL BANKING SYSTEMS MEXICO SA DE CV (FONDO DE AHORRO);SERVICIOS DE CONSULTORIA EN SISTEMAS DE SOFTWARE FINANCIERO;MEXICO;;;MIB950823948;00001000000709602553;"[""2033205563""]";ohn.utt@finastra.com;https://www.finastra.com/;1995-08-23;0;;"[""SERVICIOS PROFESIONALES""]";NACIONAL;251 a 500;FONDO DE AHORRO;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL EXTRANJERO;10000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500016;2018-06-26;SANDVIK SA DE CV;COMERCIO DE MAQUINARIA Y EQUIPO PARA LA INDUSTRIA MANUFACTURERA;MEXICO;;;SAN1802134E9;00001000000716195357;"[""4424780816""]";sergio.robles@sandvik.com;https://www.home.sandvik/es-la/;2018-02-13;0;;"[""COMERCIO AL POR MAYOR""]";NACIONAL;15 a 100;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL;150000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500018;2018-08-08;KRAYDENMEX S A DE C V;PRESTACION DE SERVICIOS ADMINISTRATIVOS Y DE PERSONAL;MEXICO;;;KRA000614IU7;00001000000713458138;"[""3331451335""]";ichavez@krayden.com;https://krayden.com/;2000-06-14;0;;"[""SERVICIOS PROFESIONALES""]";NACIONAL;251 a 500;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL; 150000000.00 ;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500029;2018-09-19;FUNDACION TERNIUM PARA LA EDUCACION AC;ESTABLECIMIENTO DE PLANTELES EDUCATIVOS PROPIEDAD DE LA  ASOCIACION;MEXICO;;;FTE150305GF2;00001000000516852164;"[""8188652040""]";HBALLESTEROS@TERNIUM.COM.MX;https://mx.ternium.com/es/;2015-03-05;0;;"[""SERVICIOS EDUCATIVOS""]";ESTATAL;501 a 1000;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL;10000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500065;2020-01-27;SKANDIA OPDE FONDOS SA DE CV SOFI CTO 125736 [IVC];SOCIEDADES DE INVERSION DE CAPITALES;MEXICO;;;SOF030703HK7;00001000000706594192;"[""5550930200""]";RBringas@skandia.com.mx;https://www.skandia.com.mx/;2003-07-03;0;;"[""SOCIEDAD OPERADORA DE FONDOS DE INVERSION""]";NACIONAL;251 a 500;FONDO DE PENSIONES;TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL;15000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500066;2020-01-27;SANDVIK MINING AND CONSTRUCTION DE MEXICO SA DE CV;COMPRA VENTA ARRENDAMIENTO REPARACION IMPORTACION Y EXPORTACION DE TODO TIPO DE MAQUINARIAS PARTES Y ARTEFACTOS PARA LA INDUSTRIA MINERA Y DE LA CONSTRUCCION;MEXICO;;;SMC960216CX9;00001000000508915133;"[""3336010362""]";sergio.robles@sandvik.com;https://www.home.sandvik/es-la/;1996-02-16;0;;"[""COMERCIO AL POR MAYOR""]";NACIONAL;251 a 500;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL;5000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
500067;2020-02-13;TOTAL SYSTEM SERVICES DE MEXICO SA DE CV;SERVICIOS DE IMPRESION VARIABLE TANTO EN FORMAS COMO EN TARJETAS PLASTICAS;MEXICO;;;TSS940421JYA;00001000000712892048;"[""7222791500""]";mgonzalez@tsysmexico.com;https://tsys.com.mx;1994-04-21;0;;"[""SERVICIOS PROFESIONALES""]";NACIONAL;251 a 500;FONDO DE PENSIONES;PROPIOS Y TERCEROS (EMPLEADOS);PERSONA MORAL NACIONAL;15000000;DISTRIBUCION EN DIRECTO;TRANFERENCIA SPEI
